date,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,station_id,station_name,region_name,flood,label_hujan
8/29/2016,24.6,31.2,26.2,91.0,14.5,2.7,3.0,90.0,0.0,N ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
8/30/2016,24.8,32.0,25.1,93.0,0.4,4.0,3.0,200.0,1.0,N ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
8/31/2016,23.6,33.2,27.3,85.0,58.0,1.6,3.0,90.0,1.0,E ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
9/2/2016,23.2,33.0,27.7,82.0,25.0,6.6,3.0,190.0,1.0,N ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
9/3/2016,25.0,33.0,28.4,78.0,1.2,6.2,3.0,180.0,1.0,E ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
9/5/2016,24.8,33.2,28.4,78.0,6.0,4.0,3.0,80.0,2.0,E ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
9/8/2016,23.6,31.6,27.4,82.0,11.8,6.8,2.0,250.0,1.0,N ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1,YES
9/9/2016,24.8,33.5,28.3,76.0,0.1,2.6,4.0,100.0,2.0,E ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
9/13/2016,24.5,34.0,28.5,75.0,2.0,6.2,3.0,260.0,1.0,E ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
9/15/2016,23.8,33.0,26.9,86.0,42.0,5.3,3.0,210.0,1.0,N ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1,YES
9/16/2016,23.4,32.0,27.4,82.0,14.2,4.9,3.0,70.0,1.0,E ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
9/17/2016,23.8,31.8,28.1,82.0,2.0,2.5,4.0,220.0,2.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
9/18/2016,25.2,32.2,27.3,89.0,9.0,2.4,2.0,120.0,0.0,N ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
9/20/2016,24.8,33.2,28.0,83.0,15.7,4.9,5.0,240.0,2.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
9/22/2016,25.2,31.5,27.7,85.0,4.4,3.8,3.0,250.0,1.0,N ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
9/24/2016,24.8,33.4,26.7,87.0,1.7,2.6,3.0,250.0,2.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1,YES
9/25/2016,23.4,34.0,28.4,81.0,60.5,4.4,3.0,220.0,1.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1,YES
9/26/2016,23.2,32.4,27.8,78.0,11.0,6.9,6.0,230.0,3.0,SW,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1,YES
9/28/2016,24.2,33.0,28.2,76.0,30.9,1.9,3.0,60.0,1.0,E ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
9/29/2016,23.4,33.0,27.6,83.0,25.0,4.2,3.0,200.0,1.0,N ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
9/30/2016,24.8,29.7,26.7,86.0,6.3,7.9,2.0,180.0,1.0,N ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
10/1/2016,24.8,34.0,28.4,78.0,0.5,6.5,5.0,260.0,6.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
10/4/2016,24.4,32.9,26.6,86.0,0.2,2.2,2.0,190.0,2.0,SW,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1,YES
10/5/2016,24.2,33.8,27.1,84.0,14.5,3.2,4.0,170.0,2.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1,YES
10/9/2016,24.0,33.6,27.7,80.0,3.0,4.3,3.0,90.0,5.0,S ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
10/10/2016,24.0,32.9,25.4,92.0,1.5,0.0,2.0,140.0,3.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1,YES
10/11/2016,24.1,32.6,27.0,86.0,24.0,1.4,2.0,90.0,2.0,S ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1,YES
10/12/2016,24.8,30.6,27.1,88.0,11.0,0.0,2.0,80.0,3.0,E ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1,YES
10/14/2016,24.0,30.0,26.3,89.0,5.4,0.0,4.0,260.0,5.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
10/15/2016,24.3,32.4,28.1,81.0,1.4,0.3,3.0,20.0,5.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
10/22/2016,24.2,34.0,27.6,84.0,40.0,1.5,4.0,90.0,5.0,E ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
10/23/2016,24.4,28.2,24.7,97.0,36.4,0.0,2.0,230.0,2.0,SW,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1,YES
10/24/2016,24.0,32.8,27.0,86.0,29.0,1.4,3.0,100.0,4.0,E ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
10/25/2016,23.8,33.0,27.7,66.0,9.7,7.0,4.0,130.0,5.0,SE,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
10/26/2016,25.3,34.2,28.6,79.0,10.5,4.9,4.0,270.0,5.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
10/27/2016,24.6,32.6,26.7,88.0,3.0,1.5,5.0,180.0,4.0,SW,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
10/28/2016,24.2,31.6,26.6,90.0,41.0,0.7,3.0,270.0,3.0,SE,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
10/29/2016,24.2,33.6,27.2,83.0,2.0,6.2,3.0,270.0,3.0,SE,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
10/30/2016,24.4,33.8,27.4,82.0,1.7,4.5,3.0,170.0,3.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
10/31/2016,23.8,34.2,27.4,82.0,1.1,5.8,3.0,190.0,4.0,SE,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
11/1/2016,24.6,34.3,28.1,78.0,1.0,6.2,3.0,260.0,4.0,SW,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
11/2/2016,24.2,33.4,28.2,78.0,1.0,4.6,3.0,250.0,4.0,SW,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
11/4/2016,25.2,33.0,28.2,78.0,0.5,1.0,3.0,250.0,3.0,S ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
11/9/2016,23.8,33.0,26.9,85.0,41.0,3.7,4.0,260.0,2.0,SW,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
11/10/2016,24.0,33.0,26.8,85.0,0.4,5.3,3.0,220.0,2.0,S ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
11/11/2016,23.6,33.6,27.3,84.0,31.0,3.5,3.0,260.0,3.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
11/12/2016,23.2,33.0,27.3,85.0,48.0,4.6,4.0,260.0,3.0,NE,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
11/13/2016,25.0,31.6,26.2,91.0,16.0,1.9,3.0,260.0,4.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
11/14/2016,24.2,33.0,27.0,89.0,97.0,4.7,3.0,270.0,3.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
11/15/2016,23.2,32.8,27.0,85.0,14.0,1.9,3.0,260.0,4.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
11/16/2016,24.0,32.7,27.5,85.0,40.3,4.8,2.0,40.0,4.0,NE,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
12/3/2016,24.2,34.6,28.0,80.0,8.5,3.5,7.0,260.0,4.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
12/5/2016,23.4,29.6,24.7,90.0,7.0,0.9,5.0,230.0,6.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
12/6/2016,24.6,30.6,27.3,82.0,6.5,1.8,4.0,250.0,4.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
12/9/2016,24.0,33.8,27.7,82.0,17.5,6.0,5.0,260.0,7.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
